ID: 43, Score: 1799
ID: 87, Score: 2254
ID: 61, Score: 2565
ID: 88, Score: 2194
ID: 9, Score: 2296
ID: 77, Score: 1942
ID: 10, Score: 2019
ID: 65, Score: 2168
ID: 6, Score: 2279
ID: 82, Score: 2082
ID: 68, Score: 2163
ID: 71, Score: 2166
ID: 73, Score: 2824
ID: 36, Score: 1337
ID: 7, Score: 2135
ID: 37, Score: 2628
ID: 23, Score: 2294
ID: 63, Score: 1722
ID: 17, Score: 2001
ID: 55, Score: 2594
ID: 16, Score: 2219
ID: 49, Score: 1821
ID: 38, Score: 1676
ID: 60, Score: 1656
ID: 39, Score: 2052
ID: 35, Score: 1561
ID: 12, Score: 1281
ID: 42, Score: 1065
ID: 20, Score: 1372
ID: 26, Score: 1428
ID: 41, Score: 1272
ID: 56, Score: 1336
ID: 44, Score: 1570
ID: 5, Score: 1252
ID: 94, Score: 330
ID: 92, Score: 117
ID: 70, Score: 964
ID: 84, Score: 1207
ID: 95, Score: 100
ID: 27, Score: 789
ID: 85, Score: 910
ID: 99, Score: 190
ID: 30, Score: 880
ID: 46, Score: 929
ID: 25, Score: 961
ID: 47, Score: 807
ID: 81, Score: 1046
ID: 13, Score: 1069
ID: 72, Score: 971
ID: 78, Score: 709
ID: 80, Score: 827
ID: 76, Score: 688
ID: 53, Score: 665
ID: 59, Score: 644
ID: 21, Score: 518
ID: 3, Score: 475
ID: 28, Score: 583
ID: 29, Score: 542
ID: 19, Score: 693
ID: 50, Score: 515
ID: 62, Score: 645
ID: 57, Score: 481
ID: 66, Score: 584
ID: 75, Score: 438
ID: 91, Score: 372
ID: 4, Score: 563
ID: 18, Score: 267
ID: 89, Score: 247
ID: 83, Score: 345
ID: 32, Score: 298
ID: 52, Score: 144
ID: 90, Score: 161
ID: 79, Score: 224
ID: 64, Score: 100
ID: 67, Score: 95
ID: 36, Score: 94
ID: 53, Score: 1643
ID: 63, Score: 94
ID: 55, Score: 94
ID: 32, Score: 939
ID: 56, Score: 436
ID: 28, Score: 918
ID: 52, Score: 1762
ID: 25, Score: 893
ID: 41, Score: 229
ID: 48, Score: 930
ID: 64, Score: 1087
ID: 14, Score: 1355
ID: 31, Score: 1476
ID: 84, Score: 423
ID: 45, Score: 208
ID: 79, Score: 1069
ID: 95, Score: 241
ID: 27, Score: 133
ID: 47, Score: 198
ID: 30, Score: 243
ID: 18, Score: 719
ID: 30, Score: 1022
ID: 35, Score: 264
ID: 63, Score: 95
ID: 11, Score: 699
ID: 4, Score: 922
ID: 14, Score: 768
ID: 84, Score: 691
ID: 79, Score: 763
ID: 76, Score: 1315
ID: 85, Score: 1101
ID: 16, Score: 438
ID: 41, Score: 608
ID: 78, Score: 1311
ID: 40, Score: 1067
ID: 72, Score: 1003
ID: 29, Score: 1164
ID: 45, Score: 677
ID: 31, Score: 630
ID: 70, Score: 430
ID: 8, Score: 1076
ID: 44, Score: 268
ID: 91, Score: 547
ID: 90, Score: 294
ID: 51, Score: 180
ID: 74, Score: 174
ID: 75, Score: 93
ID: 67, Score: 261
ID: 34, Score: 93
ID: 12, Score: 92
ID: 91, Score: 482
ID: 96, Score: 311
ID: 58, Score: 851
ID: 89, Score: 1189
ID: 92, Score: 92
ID: 22, Score: 995
ID: 21, Score: 585
ID: 75, Score: 708
ID: 46, Score: 495
ID: 5, Score: 775
ID: 20, Score: 626
ID: 81, Score: 700
ID: 29, Score: 185
ID: 74, Score: 949
ID: 72, Score: 185
ID: 45, Score: 289
ID: 89, Score: 654
ID: 48, Score: 656
ID: 64, Score: 641
ID: 15, Score: 154
ID: 25, Score: 118
ID: 59, Score: 899
ID: 66, Score: 802
ID: 21, Score: 595
ID: 1, Score: 362
ID: 22, Score: 133
ID: 3, Score: 802
ID: 26, Score: 134
ID: 58, Score: 197
ID: 97, Score: 287
ID: 100, Score: 440
ID: 13, Score: 238
ID: 19, Score: 295
ID: 51, Score: 494
ID: 24, Score: 454
ID: 33, Score: 325
ID: 69, Score: 456
ID: 86, Score: 288
ID: 28, Score: 83
ID: 57, Score: 401
ID: 12, Score: 189
ID: 1, Score: 149
ID: 54, Score: 102
ID: 93, Score: 272
ID: 98, Score: 214
ID: 8, Score: 81
ID: 2, Score: 399
ID: 93, Score: 215
ID: 19, Score: 291
ID: 83, Score: 81
ID: 71, Score: 80
ID: 57, Score: 124
ID: 39, Score: 261
ID: 61, Score: 79
ID: 9, Score: 92
ID: 46, Score: 158
ID: 48, Score: 79
ID: 56, Score: 111
ID: 24, Score: 355
ID: 5, Score: 164
ID: 8, Score: 79
ID: 86, Score: 541
ID: 58, Score: 78
ID: 96, Score: 149
ID: 69, Score: 187
ID: 97, Score: 77
ID: 83, Score: 92
ID: 3, Score: 543
ID: 1, Score: 343
ID: 4, Score: 134
ID: 60, Score: 134
ID: 8, Score: 191
ID: 33, Score: 74
ID: 19, Score: 203
ID: 20, Score: 74
ID: 47, Score: 712
ID: 58, Score: 312
ID: 94, Score: 84
ID: 27, Score: 73
ID: 34, Score: 327
ID: 72, Score: 72
ID: 13, Score: 332
ID: 19, Score: 227
ID: 31, Score: 351
ID: 5, Score: 72
ID: 22, Score: 100
ID: 57, Score: 174
ID: 38, Score: 236
ID: 8, Score: 72
ID: 50, Score: 189
ID: 44, Score: 71
ID: 6, Score: 107
ID: 25, Score: 148
ID: 62, Score: 135
ID: 66, Score: 70
ID: 2, Score: 70
ID: 12, Score: 69
ID: 95, Score: 121
ID: 31, Score: 66
ID: 60, Score: 168
ID: 65, Score: 105
ID: 79, Score: 87
ID: 99, Score: 141
ID: 11, Score: 64
ID: 23, Score: 69
ID: 54, Score: 193
ID: 68, Score: 174
ID: 12, Score: 99
ID: 59, Score: 129
ID: 50, Score: 96
ID: 62, Score: 161
ID: 67, Score: 187
ID: 26, Score: 61
ID: 37, Score: 60
ID: 26, Score: 111
ID: 66, Score: 60
ID: 9, Score: 59
ID: 56, Score: 100
ID: 89, Score: 59
ID: 62, Score: 105
ID: 5, Score: 58
ID: 17, Score: 63
ID: 49, Score: 247
ID: 15, Score: 134
ID: 50, Score: 95
ID: 51, Score: 58
ID: 66, Score: 88
ID: 98, Score: 131
