ID: 73, Score: 2315
ID: 17, Score: 1981
ID: 18, Score: 2590
ID: 76, Score: 2445
ID: 44, Score: 2421
ID: 7, Score: 2023
ID: 54, Score: 2343
ID: 78, Score: 2511
ID: 37, Score: 2461
ID: 15, Score: 1897
ID: 45, Score: 2155
ID: 23, Score: 2100
ID: 4, Score: 1998
ID: 75, Score: 1812
ID: 41, Score: 1715
ID: 72, Score: 1831
ID: 58, Score: 1541
ID: 14, Score: 1794
ID: 52, Score: 1695
ID: 13, Score: 1333
ID: 20, Score: 1835
ID: 29, Score: 1421
ID: 66, Score: 1417
ID: 70, Score: 1749
ID: 10, Score: 1367
ID: 53, Score: 1693
ID: 62, Score: 1520
ID: 34, Score: 1287
ID: 71, Score: 1208
ID: 28, Score: 930
ID: 68, Score: 1344
ID: 74, Score: 1064
ID: 43, Score: 1324
ID: 49, Score: 959
ID: 60, Score: 811
ID: 55, Score: 810
ID: 48, Score: 911
ID: 61, Score: 1067
ID: 38, Score: 1046
ID: 50, Score: 903
ID: 59, Score: 847
ID: 22, Score: 705
ID: 46, Score: 562
ID: 2, Score: 595
ID: 83, Score: 775
ID: 9, Score: 429
ID: 26, Score: 414
ID: 24, Score: 387
ID: 16, Score: 351
ID: 27, Score: 203
ID: 94, Score: 267
ID: 1, Score: 100
ID: 33, Score: 198
ID: 82, Score: 125
ID: 85, Score: 100
ID: 91, Score: 97
ID: 2, Score: 96
ID: 24, Score: 273
ID: 32, Score: 454
ID: 84, Score: 508
ID: 5, Score: 468
ID: 27, Score: 338
ID: 96, Score: 513
ID: 99, Score: 526
ID: 33, Score: 296
ID: 11, Score: 288
ID: 19, Score: 267
ID: 3, Score: 171
ID: 87, Score: 125
ID: 91, Score: 191
ID: 40, Score: 162
ID: 51, Score: 157
ID: 42, Score: 96
ID: 48, Score: 93
ID: 30, Score: 243
ID: 2, Score: 174
ID: 21, Score: 669
ID: 27, Score: 252
ID: 1, Score: 537
ID: 63, Score: 358
ID: 77, Score: 280
ID: 90, Score: 264
ID: 36, Score: 93
ID: 76, Score: 91
ID: 46, Score: 1196
ID: 49, Score: 990
ID: 25, Score: 785
ID: 6, Score: 447
ID: 53, Score: 609
ID: 9, Score: 1304
ID: 55, Score: 498
ID: 5, Score: 1061
ID: 12, Score: 798
ID: 24, Score: 314
ID: 85, Score: 423
ID: 36, Score: 150
ID: 44, Score: 90
ID: 33, Score: 217
ID: 50, Score: 1111
ID: 12, Score: 354
ID: 60, Score: 90
ID: 63, Score: 145
ID: 77, Score: 269
ID: 7, Score: 89
ID: 59, Score: 902
ID: 39, Score: 414
ID: 67, Score: 403
ID: 71, Score: 1195
ID: 82, Score: 623
ID: 11, Score: 552
ID: 6, Score: 154
ID: 19, Score: 597
ID: 30, Score: 1129
ID: 74, Score: 179
ID: 53, Score: 135
ID: 24, Score: 847
ID: 8, Score: 315
ID: 83, Score: 341
ID: 2, Score: 311
ID: 31, Score: 624
ID: 4, Score: 88
ID: 61, Score: 927
ID: 41, Score: 314
ID: 8, Score: 264
ID: 79, Score: 1057
